,R_Optimal,R_Output,R_model,inp_config,out_config
0,4.011938636161517,10.032634525019994,10.603429794311523,[ 3. 11.  7.  1.  6. 13. 10.  5.  9. 14. 12.  8.  2.  4.  0.],"[4, 13, 6, 0, 10, 11, 3, 5, 8, 2, 7, 1, 12, 9, 14]"
1,4.09717041177199,10.452473568817744,11.498305320739746,[10. 11.  3. 12.  2. 14.  4.  1.  5.  9.  7.  8.  6. 13.  0.],"[14, 3, 11, 5, 1, 13, 4, 0, 9, 6, 8, 10, 7, 12, 2]"
2,4.735867801816381,11.047336174664203,11.163260459899902,[ 0. 14. 11.  8. 12.  7.  9.  2.  6.  1.  5.  3.  4. 13. 10.],"[13, 14, 10, 4, 9, 12, 8, 2, 1, 6, 3, 7, 5, 0, 11]"
3,4.776776262254425,9.789002607450517,10.776906967163086,[11.  6. 13. 12.  1. 14. 10.  4.  5.  7.  2.  9.  3.  8.  0.],"[5, 3, 7, 9, 13, 2, 4, 8, 6, 12, 11, 0, 14, 10, 1]"
4,4.5922085619711766,10.822460450527776,12.028203964233398,[12.  8.  2.  7. 11. 10.  6.  4.  5.  3.  1. 14.  9. 13.  0.],"[0, 12, 9, 1, 10, 6, 13, 5, 4, 8, 14, 3, 11, 2, 7]"
5,4.79266396702129,11.272302824890147,12.292204856872559,[ 9. 11.  8.  2. 12.  1.  3.  5.  4.  7. 13.  6. 14. 10.  0.],"[8, 12, 2, 1, 11, 10, 13, 9, 0, 6, 3, 14, 5, 7, 4]"
6,4.53160798160122,10.868209930335222,12.200984954833984,[ 3.  6. 13.  1.  2.  7. 11. 14. 10.  9.  4.  8.  5. 12.  0.],"[4, 8, 3, 13, 6, 0, 1, 9, 7, 11, 14, 5, 10, 12, 2]"
7,4.369484983179972,10.340872414914955,11.622727394104004,[ 8. 11.  9.  6. 10.  2.  1.  7. 13. 12.  3. 14.  5.  4.  0.],"[6, 7, 2, 9, 1, 11, 0, 8, 4, 10, 5, 14, 3, 12, 13]"
8,4.507226704933792,10.5079710746611,11.204390525817871,[ 9. 11.  7.  2.  1.  4. 13. 12.  8. 10.  6.  5.  3. 14.  0.],"[13, 5, 4, 8, 1, 10, 12, 2, 6, 9, 11, 14, 0, 3, 7]"
9,4.992371646241434,9.128951863533011,10.072266578674316,[ 6.  9. 13.  3.  4. 12.  5.  2. 14.  1.  7. 11.  8. 10.  0.],"[12, 5, 4, 0, 11, 13, 9, 3, 8, 10, 14, 1, 7, 6, 2]"
10,3.9760857823312503,10.358839232547078,10.177156448364258,[12.  7. 14.  1. 10. 13.  9.  6. 11.  2.  3.  4.  8.  5.  0.],"[3, 5, 9, 10, 4, 8, 14, 1, 7, 12, 2, 13, 11, 0, 6]"
11,4.299616458828851,12.247156795367863,12.88567066192627,[11.  8.  6.  3.  1.  9. 12.  7. 10. 13.  5.  4. 14.  2.  0.],"[0, 13, 8, 11, 1, 7, 10, 2, 6, 14, 12, 9, 3, 4, 5]"
12,4.74032718705456,9.646039166917264,10.834423065185547,[ 6.  8.  9. 12.  5. 10.  1. 11.  4. 14.  3.  7. 13.  2.  0.],"[9, 4, 6, 8, 10, 0, 5, 12, 1, 7, 2, 11, 13, 14, 3]"
13,5.1862103068785865,11.981158060247234,12.568312644958496,[13.  2.  9.  3. 14. 10.  1.  5.  7.  4. 11.  6. 12.  8.  0.],"[10, 8, 14, 2, 1, 4, 3, 6, 11, 12, 0, 5, 7, 9, 13]"
14,4.95737762749823,8.926933320777811,10.969091415405273,[ 8. 12.  7.  9.  4.  2.  6. 14. 11.  3. 10.  5.  1. 13.  0.],"[4, 0, 2, 3, 6, 14, 10, 5, 8, 12, 13, 11, 1, 7, 9]"
15,4.524985757925231,9.713019536496583,10.726236343383789,[ 0.  3. 14.  4. 12.  2. 13. 11.  8.  9.  7. 10.  5.  6.  1.],"[9, 7, 8, 6, 1, 11, 12, 13, 5, 2, 10, 0, 4, 14, 3]"
16,4.6603934780100245,9.92556797494099,11.175800323486328,[ 2.  3.  1. 12.  8.  6.  9.  7. 10. 14.  4. 13.  5. 11.  0.],"[2, 3, 10, 0, 4, 13, 7, 12, 14, 11, 5, 9, 6, 1, 8]"
17,4.706152630923314,10.557204381792058,10.763394355773926,[ 0. 13. 10.  6.  3.  8.  9.  7.  1.  5.  4. 11. 14. 12.  2.],"[11, 12, 4, 3, 2, 14, 8, 6, 9, 5, 7, 1, 13, 10, 0]"
18,4.562676394253696,13.02381431572121,12.20065689086914,[ 0.  3. 14.  7.  4.  1. 12.  2.  8. 10.  9. 13. 11.  6.  5.],"[5, 11, 9, 12, 14, 1, 13, 6, 4, 2, 3, 7, 0, 10, 8]"
19,4.774672064528783,11.222337201792952,12.528348922729492,[11. 12. 13.  7.  8.  5.  2.  4. 10.  6.  1. 14.  3.  9.  0.],"[9, 3, 12, 14, 0, 11, 2, 4, 1, 6, 5, 10, 13, 8, 7]"
20,4.224549509667045,10.582789112079983,11.944136619567871,[13.  1.  2.  9. 12. 11.  4. 14.  7.  8.  6.  5.  3. 10.  0.],"[12, 9, 2, 13, 11, 10, 7, 4, 1, 5, 3, 0, 14, 6, 8]"
